vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
66,lkekU;,आर्चरी,&,"आ.जयदीप कुशवाहा, म.आ.प्रीती चौधरी","11वीं अखिल भारतीय पुलिस आर्चरी 
प्रतियोगिता-2022","देहरादून  
( उत्तराखण्ड )",14.12.22 से 18.12.22,2022,आर्चरी ( इण्डियन राउण्ड 50 मीटर ),स्वर्ण
67,lkekU;,ड्यूटी मीट,&,CMP विजय सिंह,41वीं अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट 2021-22,टेकनपुर ग्वालियर,14.11.22 से 26.00.22,2022,SHOW JUMPING PRE LIMENARY FAULT AND OUT RESULT,कांस्य
68,lkekU;,ड्यूटी मीट,&,CMP हिमांशू कुमार,41वीं अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट 2021-22,टेकनपुर ग्वालियर,14.11.22 से 26.00.22,2022,SHOW JUMPING NGO UNDER TRAINEES,स्वर्ण
69,lkekU;,लॉन टेनिस,&,DIG श्री आकाश कुलहरि,23वीं लॉन टेनिस चैम्पियनशिप-2022,टेनिस स्टेडियम दिल्ली ,15.11.22 से 18.11.22 ,2022,मेन्स ओपन,स्वर्ण
70,lkekU;, टेबल टेनिस,&,आ.राहुल चौधरी,71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,( टेबल टेनिस )  मेन्स सिंगल,रजत
71,lkekU;, टेबल टेनिस,&,उ.नि. ओम कुमारी,71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,( टेबल टेनिस )  वूमेन्स सिंगल,रजत
72,lkekU;, टेबल टेनिस,&,"DYSP देवेन्द्र सिंह भदौरिया, PC महेश चन्द्र पाण्डेय, आ.राहुल चौधरी, आ.अमनदीप, आ.शर्वोश शुक्ला",71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,( टेबल टेनिस )  पुरूष टीम चैम्पियनशिप,कांस्य
73,lkekU;, टेबल टेनिस,&,"DYSP देवेन्द्र सिंह भदौरिया, आ.राहुल चौधरी",71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,( टेबल टेनिस )  पुरूष डबल्स,कांस्य
74,lkekU;, टेबल टेनिस,&,"उ.नि. ओम कुमारी, म.आ.रोमी, म.आ.प्रियंका, म.आ.विक्की कुमारी, म.आ.शिखा शर्मा",71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,( टेबल टेनिस )  महीला टीम चैम्पियनशिप,स्वर्ण
75,lkekU;, टेबल टेनिस,&,"म.आ.रोमी, म.आ.प्रियंका",71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,( टेबल टेनिस )  महिला डबल्स,स्वर्ण
76,lkekU;, टेबल टेनिस,&,"उ.नि. ओम कुमारी, म.आ.विक्की कुमारी",71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,( टेबल टेनिस )  महिला डबल्स,कांस्य
77,lkekU;, टेबल टेनिस,&,"आ.राहुल चौधरी, म.आ.रोमी",71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,( टेबल टेनिस )  मिक्स डबल्स,स्वर्ण
78,lkekU;, टेबल टेनिस,&,"PC महेश चन्द्र पाण्डेय, उ.नि. ओम कुमारी",71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,( टेबल टेनिस )  मिक्स डबल्स,रजत
79,lkekU;, टेबल टेनिस,&,"DYSP देवेन्द्र सिंह भदौरिया, म.आ.प्रियंका",71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,( टेबल टेनिस )  मिक्स डबल्स,कांस्य
80,lkekU;,सेपक टकरा,&,"आ.रजनीस कुमार, आ.मोहित कुमार गोस्वामी, आ.विनय कुमार यादव, आ.उदय प्रताप,  आ.कुल्दीप विश्वकर्मा, आ.किरन कुमार पटेल, आ.अमित कुमार, आ.आदित्य नेगी, आ.राहुल कुमार वाल्मीकी, आ.हरीश कुमार मिश्रा, आ.अमित सिंह, आ.पंकज कुमार तिवारी, आ.राहुल सरोज, आ.अफजल खॉन, आ.संदीप गर्सा, ",71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,सेपक टकरा ( टीम ईवेन्ट ),कांस्य
81,lkekU;,सेपक टकरा,&,"आ.मोहित कुमार गोस्वामी, आ.विनय कुमार यादव, आ.अमित कुमार, आ.आदित्य नेगी, आ.राहुल कुमार वाल्मीकी",71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,सेपक टकरा ( रेग्यू  ईवेन्ट ),कांस्य
82,lkekU;,योगा,&,मु.आ.हरिओम सिंह,71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,योगा ( ट्रेडिशनल योगाशन सीनियर ) 46-55,कांस्य
83,lkekU;,योगा,&,आ.किशन कुमार,71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,योगा ( ट्रेडिशनल योगाशन सीनियर ) 28-35,स्वर्ण
84,lkekU;,योगा,&,आ.राजकुमार बिन्द,71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,योगा ( ट्रेडिशनल योगाशन सीनियर ) 18-27,रजत
85,lkekU;,योगा,&,आ.किशन कुमार,71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,योगा ( आरटिस्टिक योगाशन ) सिंगल 18-35,रजत
86,lkekU;,योगा,&,"आ.राजकुमार बिन्द, आ.किशन कुमार",71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,योगा ( आरटिस्टिक योगाशन ) पेयर 18-35,रजत
87,lkekU;,योगा,&,"आ.अनुराग मलिक, आ.बृजेश प्रधान",71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,योगा ( रिदमिक योगाशन ) पेयर 18-35,कांस्य
88,lkekU;,योगा,&,"आ.राजकुमार बिन्द, आ.किशन कुमार, आ.अनुराग मलिक, आ.बृजेश प्रधान, आ.सुमित कुमार",71वीं अखिल भारतीय पुलिस वॉलीबाल क्लस्टर प्रतियोगिता-2022,जालंधर पंजाब,10.12.22 से 15.12.22,2022,योगा ( आरटिस्टिक योगाशन ) ग्रुप 18-35,रजत
89,lkekU;,शूटिंग,&,दलनायक जयचन्द्र शर्मा,23वीं अखिल भारतीय पुलिस शूटिंग ड्यूटी मीट-2022-23,तमिलनाडू,09.01.23 से 13.01.23,2023,स्नैप शूटिंग 50 यार्ड कार्बाइन,dkaL;
90,lkekU;,बैडमिन्टन,&,म.आ.नन्दनी यादव,15वीं अखिल भारतीय पुलिस बैडमिन्टन प्रतियोगिता-2022-23,चण्डीगढ,20.02.23 से 26.02.23,2023,व्यक्तिगत,Lo.kZ
91,lkekU;,बैडमिन्टन,&,म.आ.आरती सिंह पाल,15वीं अखिल भारतीय पुलिस बैडमिन्टन प्रतियोगिता-2022-23,चण्डीगढ,20.02.23 से 26.02.23,2023,व्यक्तिगत,dkaL;
92,lkekU;,बैडमिन्टन,&,"म.आ.नन्दनी यादव, म.आ.आरती सिंह पाल",15वीं अखिल भारतीय पुलिस बैडमिन्टन प्रतियोगिता-2022-23,चण्डीगढ,20.02.23 से 26.02.23,2023,महिला डबल्स,Lo.kZ
93,lkekU;,बैडमिन्टन,&,"म.आ.नन्दनी यादव, आ. निकेन्द्र मलिक",15वीं अखिल भारतीय पुलिस बैडमिन्टन प्रतियोगिता-2022-23,चण्डीगढ,20.02.23 से 26.02.23,2023,मिक्स डबल्स,Lo.kZ
94,lkekU;,बैडमिन्टन,&,"म.आ.आरती सिंह पाल, आ.विनय पाण्डेय",15वीं अखिल भारतीय पुलिस बैडमिन्टन प्रतियोगिता-2022-23,चण्डीगढ,20.02.23 से 26.02.23,2023,मिक्स डबल्स,dkaL;
95,lkekU;,एथलेटिक्स,&,म.आ.रश्मी,71वीं अखिल भारतीय पुलिस एथलेटिक्स क्लस्टर प्रतियोगिता2022-23,लखनऊ,21.03.23 से 25.03.23,2023,एथलेटिक्स ( पोल वॉल्ट ),dkaL;
96,lkekU;,साइक्लिंग,&,आ.अभिजीत कुमार,71वीं अखिल भारतीय पुलिस एथलेटिक्स क्लस्टर प्रतियोगिता2022-23,लखनऊ,21.03.23 से 25.03.23,2023,साइक्लिंग ( 20KM Mass Start on Indian Cycle ),jtr
97,lkekU;,dq'rh,&,e-eq-vk- bUnw pkS/kjh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,50fdxzk-,jtr
98,dq-f[k-,dq'rh,&,e-vk- lk{kh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,62fdxzk,Lo.kZ
99,dq-f[k-,dq'rh,&,e-vk- lhek,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,65fdxzk,dkaL;
100,lkekU;,HkkjksRrksyu,&,vk- c`ts”k dqekj,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,89fdxzk-,jtr
101,lkekU;,ckfDalx,&,vk- fou; pkS/kjh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,60&63-5fdxzk,dkaL;
102,lkekU;,ckMh fcfYMax,&,vk- f”koe eku,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,upto 100 fdxzk-,dkaL;
103,lkekU;,ckMh fcfYMax,&,eq-vk- lanhi pkS/kjh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,upto 90 fdxzk-,jtr
104,lkekU;,ckMh fcfYMax,&,vk- fjadw HkkVh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,upto 90 fdxzk-,dkaL;
105,lkekU;,vkeZ jsfLyax,&,vk- jktho,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,55fdxzk,jtr
106,lkekU;,vkeZ jsfLyax,&,vk fodkl ukxj,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,110fdxzk-,Lo.kZ
107,lkekU;,vkeZ jsfLyax,&,vk- vfouk”k nqcs,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,75fdxzk-,dkaL;
108,lkekU;,vkeZ jsfLyax,&,vk- jkgqy dqekj,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,90fdxzk-,jtr 
109,lkekU;,vkeZ jsfLyax,&,e-vk- :fp pkSgku,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,50fdxzk-,dkaL;
110,lkekU;,vkeZ jsfLyax,&,e-vk- nhik pkS/kjh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,$80fdxzk-,Lo.kZ
111,lkekU;,ikoj fyf¶Vax,&,vk- iou dqekj “kekZ,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,66fdxzk-,Lo.kZ
112,lkekU;,ikoj fyf¶Vax,&,vk- “kqHke efyd ,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,74fdxzk,Lo.kZ
113,lkekU;,ikoj fyf¶Vax,&,vk- fo”kky pkS/kjh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,83 fdxzk-,Lo.kZ
114,lkekU;,ikoj fyf¶Vax,&,vk0 lkSjo pkS/kjh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,120fdxzk- ,jtr 
115,lkekU;,ikoj fyf¶Vax,&,e-vk- “khry ijekj,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,47fdxzk-,dkaL;
116,lkekU;,ikoj fyf¶Vax,&,e-vk- ljyk tknkSu,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,52fdxzk- ,jtr 
117,lkekU;,ikoj fyf¶Vax,&,e-vk- nh{kk xqIrk,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,63fdxzk-,jtr
118,dq-f[k-,vkpZjh,&,रि.आ. श्रेय भारद्वाज,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,रिकर्व 70 मीटर दूरी,Lo.kZ
119,dq-f[k-,vkpZjh,&,रि.आ. अनन्त सैना,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,कम्पाउण्ड राउण्ड 50 मीटर दूरी,jtr
120,dq-f[k-,vkpZjh,&,रि.आ. तरूण दीक्षित,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,कम्पाउण्ड राउण्ड 50 मीटर दूरी,dkaL;
121,dq-f[k-,vkpZjh,&,रि.आ. श्रेय भारद्वाज,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,रिकर्व 50 मीटर दूरी,jtr
122,dq-f[k-,vkpZjh,&,रि.आ. श्रेय भारद्वाज,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,रिकर्व 30 मीटर दूरी,Lo.kZ
123,dq-f[k-,vkpZjh,&,रि.आ. श्रेय भारद्वाज,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,ओवर ऑल रिकर्व राउण्ड,Lo.kZ
124,dq-f[k-@lk-,vkpZjh,&,e-vk- vuhrk ikSMoky] e-vk- f”kYih] e-vk- thur vkjk] e-vk- lqeu pkS/kjh,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,fjdoZ jkm.M efgyk Vhe bosUV,jtr
125,dq-f[k-,vkpZjh,&,vk-Js; Hkkj}kt] e-vk- lqeu pkS/kjh,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,feDl Vhe bosUV,jtr
126,lkekU;,M~;wVhehV,&,dEI;wVj vkijsVj vuq “kekZ,67oha vf[ky Hkkjrh; iqfyl M~;wVhehV izfr;ksfxrk&2023&24,"vkj-ih-,Q- y[kuÅ",12-02-2024 ls 16-02-2024,2024,bosUV uEcj&2 vkfQl vkVkses”ku,jtr
127,lkekU;,M~;wVhehV,&,vkj{kh nhid dqekj flag,67oha vf[ky Hkkjrh; iqfyl M~;wVhehV izfr;ksfxrk&2023&24,"vkj-ih-,Q- y[kuÅ",12-02-2024 ls 16-02-2024,2024,ohfM;ksxzkQh,Lo.kZ
128,lkekU;,M~;wVhehV,&,fujh{kd izksxzkej r: ekFkqj,67oha vf[ky Hkkjrh; iqfyl M~;wVhehV izfr;ksfxrk&2023&24,"vkj-ih-,Q- y[kuÅ",12-02-2024 ls 16-02-2024,2024,bosUV uEcj&3 dEI;wVj vos;jusl,Lo.kZ
129,lkekU;,M~;wVhehV,&,fujh{kd izksxzkej izeksn dqekj,67oha vf[ky Hkkjrh; iqfyl M~;wVhehV izfr;ksfxrk&2023&24,"vkj-ih-,Q- y[kuÅ",12-02-2024 ls 16-02-2024,2024,bosUV uEcj&3 dEI;wVj vos;jusl,Lo.kZ
130,lkekU;,Vscy Vsful,&,DySP श्री देवेन्द्र सिंह भदौरिया,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  50+  सिंगल्स,Lo.kZ
131,lkekU;,Vscy Vsful,&,DySP श्री प्रेम कुमार थापा,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  50+  सिंगल्स,jtr
132,lkekU;,Vscy Vsful,&,Adsl SP श्री मनीष सोनकर,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  40+ सिंगल्स,dkaL;
133,lkekU;,Vscy Vsful,&,DySP श्री देवेन्द्र सिंह भदौरिया,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  40+ सिंगल्स,dkaL;
134,lkekU;,Vscy Vsful,&,"Adsl SP श्री मनीष सोनकर, DySP श्री देवेन्द्र सिंह भदौरिया, DySP श्री प्रेम कुमार थापा, DySP श्री वरूण कुमार",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s टीम चैम्पियनशिप,jtr
135,lkekU;,Vscy Vsful,&,"DySP श्री देवेन्द्र सिंह भदौरिया, DySP श्री प्रेम कुमार थापा",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s 50++++ डवल्स,Lo.kZ
136,lkekU;,Vscy Vsful,&,"Adsl SP श्री मनीष सोनकर, DySP श्री देवेन्द्र सिंह भदौरिया",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s 40++++ डवल्स,jtr
137,lkekU;,Vscy Vsful,&,"DySP श्री देवेन्द्र सिंह भदौरिया, Adsl SP श्री मनीष सोनकर",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s ओपन डबल्स,jtr
138,lkekU;,Vscy Vsful,&,उ.नि. महेश चन्द्र पाण्डेय,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,50+  सिंगल्स,dkaL;
139,dq-f[k-,Vscy Vsful,&,आ. सुब्रत राज वर्मा,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन  सिंगल्स,jtr
140,lkekU;,Vscy Vsful,&,म.मु.आ. रोमी,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन  सिंगल्स,dkaL;
141,lkekU;,Vscy Vsful,&,मु.आ. राहुल चौधरी,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन  सिंगल्स,dkaL;
142,dq-f[k-,Vscy Vsful,&,म.आ. श्रष्टी जैसवाल   ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन  सिंगल्स,jtr
143,dq-f[k-,Vscy Vsful,&,म.आ. गुनगुन साहू    ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन  सिंगल्स,Lo.kZ
144,lkekU;,Vscy Vsful,&,उ.नि. ओम कुमारी,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,40+ सिंगल्स,Lo.kZ
145,lkekU;,Vscy Vsful,&,"उ.नि. ओम कुमारी, एच.ओ. अर्चना",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,40+ डबल,Lo.kZ
146,lkekU;,Vscy Vsful,&,एच.ओ. अर्चना,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,40+ सिंगल्स,dkaL;
147,dq-f[k-@lk-,Vscy Vsful,&,"मु.आ. रोमी, म.आ. रानी सिंह, म.आ. गुनगुन साहू, म.आ. श्रष्टी जैसवाल, उ.नि. ओम कुमारी",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,महिला टीम चैम्पियनशिप,Lo.kZ
148,dq-f[k-@lk-,Vscy Vsful,&,"मु.आ. राहुल चौधरी, आ. अरशद खां, आ. अरविन्द चौधरी, आ. सुब्रत राज वर्मा, आ. विशाल राज",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,पुरूष टीम चैम्पियनशिप,Lo.kZ
149,lkekU;,Vscy Vsful,&,"उ.नि. महेश चन्द्र पाण्डेय, एच.ओ. अर्चना",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,40+ मिक्स डबल्स,dkaL;
150,dq-f[k-@lk-,Vscy Vsful,&,"आ. अरविन्द चौधरी, म.आ. गुनगुन साहू",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डवल्स,Lo.kZ
151,lkekU;,Vscy Vsful,&,"मु.आ. राहुल चौधरी, म.मु.आ. रोमी",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डवल्स,jtr
152,dq-f[k-@lk-,Vscy Vsful,&,"आ. विशाल राज, म.आ. रानी सिंह  ",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डवल्स,dkaL;
